,Year,Building,Bunker Fuels,Energy,Fugitive Emissions,Industrial Processes,Land-Use Change and Forestry,Manufacturing/Construction,Other Fuel Combustion,Transportation
0,1990,5785.23,1391.1599999999999,62736.49,456.84000000000003,1013.97,3058.89,8543.439999999999,1602.71,9204.55
1,1991,5863.879999999999,1406.0,63231.520000000004,491.03000000000003,1039.8799999999999,3058.8599999999997,8321.650000000001,1604.99,9280.1
2,1992,5603.71,1480.3600000000001,63276.62,539.88,1144.37,3058.7499999999995,7998.4299999999985,1431.9099999999999,9466.259999999998
3,1993,5726.23,1466.06,63502.26999999999,552.86,1180.6699999999998,3058.7499999999995,7882.13,1463.73,9557.41
4,1994,5521.67,1517.8700000000001,63862.32,568.3100000000001,1259.8200000000002,3058.71,7929.11,1406.17,9727.07
5,1995,5682.259999999998,1564.8899999999999,65454.329999999994,594.51,1331.48,3070.5299999999997,8396.95,1309.1000000000001,9977.86
6,1996,5867.51,1615.3000000000002,67192.6,632.0000000000001,1353.71,2762.69,8173.38,1169.02,10391.78
7,1997,5782.17,1675.5,68365.28,626.6,1395.29,4143.27,8221.900000000001,1262.1100000000001,10531.970000000001
8,1998,5471.4,1728.48,69090.18,607.94,1388.98,3031.37,8192.349999999999,1212.1799999999998,10779.249999999998
9,1999,5601.78,1806.1999999999998,69295.54,591.95,1452.2799999999997,2838.7699999999995,7848.4400000000005,1225.8400000000001,11074.0
10,2000,5561.51,1871.65,71559.28,629.84,1519.21,2734.29,8217.98,1109.9399999999998,11405.960000000001
11,2001,5647.67,1810.49,72854.23000000001,610.1500000000001,1577.0900000000001,2141.13,8249.849999999999,1130.3,11515.789999999999
12,2002,5623.95,1883.4,73832.68000000001,578.1000000000001,1657.3,2888.78,8230.78,1130.4900000000002,11788.43
13,2003,5819.34,1897.63,77300.64000000001,650.88,1776.92,2346.66,8614.11,1160.3000000000002,12046.3
14,2004,5899.2300000000005,2059.45,80299.76999999999,619.05,1899.22,2892.9400000000005,9460.93,1228.8400000000001,12552.73
15,2005,5899.219999999999,2158.47,82898.47,652.2599999999999,2006.04,2483.6200000000003,10285.71,1271.05,12785.39
16,2006,5832.92,2274.0,85534.42,613.6100000000001,2183.38,3074.63,10762.019999999999,1288.6100000000001,13049.42
17,2007,5752.27,2381.34,88649.53,585.74,2338.55,2224.25,11309.15,1289.85,13421.29
18,2008,5924.610000000001,2406.71,88976.93,557.63,2364.1000000000004,2207.34,11522.77,1301.8,13407.28
19,2009,5810.970000000001,2265.5299999999997,87430.88,565.2299999999999,2410.94,2813.65,11412.66,1275.7999999999997,13156.25
20,2010,5944.959999999999,2396.99,92769.98000000001,525.4000000000001,2563.4100000000003,2236.24,12515.57,1309.51,13648.300000000001
21,2011,5773.17,2436.24,95620.45999999999,536.05,2752.59,-175.97999999999968,12969.099999999999,1277.6000000000001,13857.55
22,2012,5673.72,2339.24,96891.94,539.77,2817.6899999999996,-154.44999999999982,13003.11,1322.4899999999998,13986.919999999998
23,2013,5908.419999999999,2344.37,98475.70999999999,527.76,2935.6000000000004,-188.94999999999936,13053.96,1336.9299999999998,14350.689999999999
24,2014,5730.48,2417.46,98229.26000000001,545.34,3049.87,342.3900000000004,13134.08,1324.87,14568.150000000001
25,2015,5820.080000000001,2520.02,97524.24,552.82,2937.0599999999995,389.55,12967.3,1311.33,14992.309999999998
26,2016,5911.34,2612.6,97556.19999999998,558.9599999999999,3020.9000000000005,1923.92,12600.02,1311.08,15263.89
27,2017,6034.15,2729.8599999999997,99240.40000000001,529.5699999999999,3066.5999999999995,1857.34,12487.18,1309.6399999999999,15621.199999999999
28,2018,6088.8099999999995,2791.01,101442.03,545.3799999999999,3200.3799999999997,2150.9300000000003,12691.68,1293.3200000000002,15865.960000000003
29,2019,5998.16,2782.42,101120.88999999998,565.3499999999999,3284.0099999999993,2487.83,12827.95,1242.9299999999998,15909.91
