Country,Data source,Sector,Gas,Unit,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990
Afghanistan,Climate Watch,Building,CO2,MtCO₂e,0.05,0.04,0.14,0.04,0.02,0.05,0.08,0.08,0.11,0.16,0.3,0.07,0.04,0.1,0.07,0.04,0.0,0.0,0.0,0.0,0.01,0.01,0.01,0.01,0.02,0.02,0.03,0.03,0.07,0.08
Angola,Climate Watch,Building,CO2,MtCO₂e,3.56,3.24,3.5,4.33,4.86,5.43,5.57,4.5,3.99,3.62,3.43,2.9,2.28,1.92,0.97,1.29,1.25,1.19,1.17,1.05,1.25,1.0,0.91,0.9,0.66,0.62,0.51,0.61,0.67,0.63
Albania,Climate Watch,Building,CO2,MtCO₂e,0.48,0.47,0.46,0.4,0.38,0.36,0.33,0.25,0.32,0.33,0.36,0.34,0.28,0.41,0.37,0.4,0.45,0.62,0.28,0.26,0.24,0.24,0.33,0.34,0.25,0.16,0.17,0.28,0.36,0.31
United Arab Emirates,Climate Watch,Building,CO2,MtCO₂e,0.57,0.8,1.01,1.02,0.97,0.88,0.87,0.55,0.67,0.55,0.49,0.3,0.17,0.13,0.13,0.13,0.12,0.12,0.47,0.32,0.27,0.26,0.26,0.25,0.29,0.29,0.26,0.27,0.29,0.3
Argentina,Climate Watch,Building,CO2,MtCO₂e,26.93,28.1,28.52,30.61,30.17,29.87,30.92,29.77,28.31,28.22,24.72,25.15,26.5,22.65,22.64,21.71,20.28,18.85,19.77,20.57,19.48,18.2,17.89,17.8,17.94,18.01,18.35,16.48,17.12,17.44
Armenia,Climate Watch,Building,CO2,MtCO₂e,1.44,1.17,1.32,1.24,1.15,1.08,1.24,1.26,1.12,0.97,1.12,1.19,1.07,0.75,0.73,0.65,0.48,0.39,0.34,0.31,0.28,0.34,0.32,0.25,1.16,0.79,0.59,1.88,4.39,6.38
Antigua and Barbuda,Climate Watch,Building,CO2,MtCO₂e,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0.01,0.01,0.04,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
Australia,Climate Watch,Building,CO2,MtCO₂e,14.66,14.97,14.87,14.83,14.44,14.17,13.68,13.4,13.14,12.68,12.53,11.92,11.82,11.56,11.36,11.25,11.31,11.14,10.84,10.57,10.31,10.4,10.17,10.09,9.72,9.16,9.37,9.01,8.68,8.63
Austria,Climate Watch,Building,CO2,MtCO₂e,7.73,7.49,8.2,8.05,7.83,7.4,8.41,8.17,8.57,9.81,9.61,10.47,10.13,12.07,12.37,12.65,13.12,12.38,13.05,11.86,12.96,12.46,12.42,13.94,12.54,11.42,12.38,12.61,13.27,11.89
Azerbaijan,Climate Watch,Building,CO2,MtCO₂e,7.96,6.3,6.14,6.72,5.99,5.61,5.06,5.22,6.18,6.1,5.97,6.64,5.47,5.8,5.78,5.64,5.73,5.22,4.66,4.29,4.75,4.45,4.08,4.08,3.85,4.71,2.36,3.61,4.64,4.94
Burundi,Climate Watch,Building,CO2,MtCO₂e,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.02,0.02,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
Belgium,Climate Watch,Building,CO2,MtCO₂e,21.63,22.4,22.66,22.83,23.13,20.26,25.6,23.4,22.28,27.1,24.15,26.22,22.41,25.89,28.65,28.74,28.31,26.35,27.6,26.52,27.49,29.02,29.27,31.58,27.2,25.97,26.65,27.42,27.52,24.66
Benin,Climate Watch,Building,CO2,MtCO₂e,0.34,0.13,0.1,0.11,0.1,0.2,0.28,0.59,0.88,1.18,1.14,1.11,1.07,1.04,0.92,0.82,0.7,0.62,0.53,0.3,0.29,0.27,0.25,0.23,0.04,0.04,0.03,0.04,0.03,0.03
Burkina Faso,Climate Watch,Building,CO2,MtCO₂e,0.29,0.27,0.24,0.22,0.19,0.17,0.16,0.18,0.12,0.09,0.14,0.15,0.14,0.12,0.1,0.12,0.14,0.13,0.12,0.12,0.11,0.1,0.1,0.09,0.08,0.07,0.06,0.06,0.06,0.06
Bangladesh,Climate Watch,Building,CO2,MtCO₂e,9.8,9.82,9.62,9.04,7.92,7.15,6.57,6.67,6.69,6.31,5.65,5.55,5.36,5.13,4.98,5.26,4.9,4.31,3.89,3.52,3.37,3.48,3.24,2.76,2.6,2.28,2.08,1.95,1.94,2.22
Bulgaria,Climate Watch,Building,CO2,MtCO₂e,0.96,1.02,1.2,1.17,1.1,0.95,1.2,1.44,1.48,1.29,1.12,1.35,1.33,1.53,1.28,1.34,1.75,1.63,1.27,1.36,2.02,2.7,2.57,3.67,3.22,4.37,5.05,4.37,4.09,5.99
Bahrain,Climate Watch,Building,CO2,MtCO₂e,0.25,0.26,0.22,0.26,0.28,0.25,0.26,0.24,0.23,0.22,0.23,0.23,0.2,0.19,0.24,0.22,0.21,0.2,0.19,0.18,0.17,0.31,0.25,0.18,0.16,0.16,0.15,0.15,0.14,0.13
Bahamas,Climate Watch,Building,CO2,MtCO₂e,0.39,0.38,0.28,0.24,0.3,0.37,0.69,0.59,0.25,0.16,0.48,0.18,0.16,0.18,0.17,0.17,0.2,0.22,0.21,0.2,0.23,0.24,0.24,0.25,0.28,0.25,0.26,0.34,0.31,0.23
Bosnia and Herzegovina,Climate Watch,Building,CO2,MtCO₂e,0.67,0.82,1.03,1.33,1.08,1.02,0.56,0.51,0.57,0.57,0.42,0.12,0.12,0.12,0.12,0.1,0.1,0.08,0.09,0.09,0.12,0.12,0.1,0.17,0.06,0.07,0.06,0.16,0.28,0.29
Belarus,Climate Watch,Building,CO2,MtCO₂e,4.53,4.96,4.92,4.89,4.57,4.87,5.23,5.38,5.07,5.23,4.76,4.76,4.86,5.03,4.99,4.85,5.03,5.13,5.28,6.0,5.93,5.99,6.94,8.43,8.15,8.56,10.63,11.71,12.99,13.86
